accessories,Competition,Global Monthly Searches,Local Monthly Searches (United States),0.1
accountants,-,73,-,0.1
active life,-,-,-,0.1
acupuncture,-,-,-,0.1
adult education,-,-,-,0.1
adult entertainment,-,-,-,0.1
adult shopping,-,-,-,0.1
advertising,0.91,165000,135000,0.1
afghan restaurant,0.82,33100,27100,0.1
african restaurant,0.67,673000,550000,0.1
airlines,0.85,165000,135000,0.1
airport shuttles,0.88,165000,60500,0.1
airports,0.88,368000,201000,0.1
allergists,0.43,4090000,1000000,0.1
altoatesine,0.93,14800,12100,0.1
amateur sports teams,1,1220000,823000,0.1
american  restaurant,0.92,201000,135000,0.1
amusement parks,0.88,301000,135000,0.1
anesthesiologists,0.67,246000,201000,0.11
animal shelters,0.73,90500,90500,0.17
antiques,0.91,135000,110000,0.25
apartments,0.68,11100000,6120000,0.3
appliances,0.63,55600000,24900000,0.3
appliances and repair,0.72,4400,2900,0.39
apulian,0.94,390,170,0.4
aquariums,0.46,450000,301000,0.4
arabian restaurant,0.66,2240000,450000,0.43
arcades,0.61,1500000,823000,0.47
archery,0.4,74000,60500,0.47
architects,0.89,1500000,1000000,0.5
argentine restaurant,0.8,1000000,673000,0.52
armenian restaurant,0.93,8100,6600,0.52
arroceria,0.59,550000,301000,0.53
art galleries,0.1,1830000,165000,0.53
art schools,0.71,74000,60500,0.54
art supplies,0.71,1830000,368000,0.54
arts and crafts,0.84,3350000,1500000,0.54
arts and entertainment,0.89,301000,165000,0.54
asian fusion,0.64,6120000,3350000,0.54
astrologers,0.9,246000,165000,0.55
auction houses,0.37,37200000,7480000,0.55
audiologist,0.81,6120000,1830000,0.57
australian restaurant,0.51,2740000,1000000,0.57
austrian restaurant,0.95,550000,368000,0.57
authorized postal representative,0.69,110000,90500,0.58
auto detailing,0.76,1220000,450000,0.58
auto glass services,0.3,1220000,550000,0.58
auto loan providers,0.83,550000,450000,0.58
auto parts and supplies,0.76,14800,12100,0.58
auto repair,0.03,390,91,0.59
automotive,0.46,201000,90500,0.6
baby gear and furniture,0.61,1220000,673000,0.6
baden restaurant,0.96,673000,368000,0.61
badminton,0.66,823000,550000,0.61
bagels,0.86,201000,135000,0.61
baguettes,1,110,73,0.64
bail bondsmen,0.79,246000,135000,0.64
bakeries,0.61,49500,33100,0.64
ballet,0.51,1830000,823000,0.64
bangladeshi restaurant,0.43,5000000,3350000,0.64
bankruptcy law,0.25,673000,301000,0.64
banks and credit unions,0.6,201000,165000,0.65
barbeque,0.33,3350000,823000,0.65
barbers,0.65,550000,450000,0.66
barre classes,0.94,1830000,1220000,0.66
bars,0.83,368000,201000,0.66
bartenders,0.21,101000000,37200000,0.66
basque restaurant,0.71,450000,246000,0.66
bathing area,0.89,74000,40500,0.66
bavarian restaurant,0.18,27100,12100,0.66
beach bars,0.76,301000,246000,0.67
beaches,0.83,74000,14800,0.67
beauty and spas,0.76,1830000,1220000,0.68
bed and breakfast,0.59,5000000,2740000,0.68
beer bar,0.65,6120000,3350000,0.68
beer garden,0.71,301000,246000,0.68
beer gardens,0.49,1830000,1000000,0.69
beer hall,0.47,1000000,673000,0.7
beer wine and spirits,0.32,7480000,3350000,0.7
belgian restaurant,0.25,60500,320,0.7
bespoke clothing,0.93,135000,49500,0.71
betting centers,0.37,368000,110000,0.71
beverage store,0.8,246000,135000,0.71
bicycle paths,0.4,673000,368000,0.72
bicycles,0.96,2400,2400,0.72
bike associations,0.8,4090000,2240000,0.72
bike maintenance,0.47,5000000,2740000,0.72
bike rentals,0.82,8100,4400,0.72
bike repair,0.45,110000,74000,0.73
bike shop,0.32,450000,246000,0.73
bikes,0.58,201000,110000,0.73
bistros restaurant,0.55,246000,110000,0.73
black sea restaurant,0.48,301000,165000,0.73
blow dry services,0.18,5400,3600,0.73
blow out services,0.7,301000,165000,0.73
boat charters,0.72,27100,22200,0.73
boat dealers,0.08,6120000,4090000,0.74
boat repair,0.84,246000,110000,0.74
boating,0.72,246000,201000,0.74
body shops,0.7,673000,450000,0.74
books,0.62,5400,2400,0.75
bookstores,0.34,201000,110000,0.75
boot camps,0.85,90500,74000,0.75
botanical gardens,0.56,135000,74000,0.76
bowling,0.33,101000000,37200000,0.76
boxing,0.44,2240000,1830000,0.76
brasseries restaurant,0.68,2240000,1500000,0.76
brazilian restaurant,0.78,1220000,673000,0.76
breakfast and brunch,0.76,1000000,823000,0.77
breweries,0.99,450000,368000,0.77
bridal,0.9,90500,74000,0.77
british restaurant,0.97,880,720,0.77
bubble tea,0.5,450000,301000,0.77
buddhist temples,0.34,2240000,823000,0.77
buffets,0.55,3350000,823000,0.78
building supplies,0.41,301000,246000,0.78
bulgarian restaurant,0.59,550000,450000,0.78
bulk billing,0.32,9140000,2740000,0.78
bungee jumping,0.55,135000,74000,0.78
burgers,0.77,18100,18100,0.78
burmese restaurant,0.25,1830000,368000,0.79
business law,0.62,5400,3600,0.8
butcher,0.35,450000,201000,0.8
cafes,0.76,368000,201000,0.8
cafeteria,0.71,301000,165000,0.81
cajun/creole,0.88,60500,33100,0.81
cake shop,0.48,673000,246000,0.81
calabrian restaurant,0.43,1500000,673000,0.81
cambodian restaurant,0.44,1000000,550000,0.81
campgrounds,0.1,301000,246000,0.83
canadian  restaurant,0.3,74000,60500,0.83
candy stores,0.45,1000000,550000,0.83
cannabis clinics,0.46,246000,165000,0.83
canteen restaurant,0.26,1000000,368000,0.83
cantonese restaurant,0.3,2240000,550000,0.84
car dealers,0.26,4090000,2240000,0.84
car rental,0.44,110000,22200,0.85
car service stations,0.96,1830000,823000,0.85
car stereo installation,0.48,2240000,1500000,0.85
car wash,0.64,2900,1900,0.85
cardiologists,0.19,18100,9900,0.85
cards and stationery,0.92,480,390,0.86
career counseling,0.2,7480000,1000000,0.86
caribbean restaurant,0.34,246000,165000,0.86
carpenters,0.51,550000,110000,0.87
carpet cleaning,0.64,450000,165000,0.87
carpet installation,0.2,590,210,0.87
carpeting,1,18100,12100,0.87
casinos,0.66,301000,165000,0.88
castles,0.71,673000,450000,0.88
catalan restaurant,0.13,1300,1000,0.88
caterers,0.08,1000000,450000,0.88
cemeteries,0.38,3350000,1830000,0.89
champagne bars,0.73,368000,246000,0.89
check cashing/pay-day loans,0.26,823000,450000,0.9
chee kufta,0.83,6120000,2740000,0.9
cheese shops,0.2,2240000,1000000,0.9
cheesesteaks,0.49,90500,49500,0.9
chicken shop,0.28,368000,301000,0.9
chicken wings,0.87,5000000,2240000,0.9
child care,1,823000,550000,0.91
chinese bazaar,0.13,450000,201000,0.91
chinese restaurant,0.51,450000,201000,0.92
chiropractors,0.19,22200,14800,0.92
chocolate shops,0.29,165000,110000,0.92
chocolatiers,0.05,3350000,2740000,0.92
choirs,0.43,301000,165000,0.92
christmas markets,0.65,1830000,1220000,0.93
churches,0.04,5400,320,0.93
