active life,0.1
amateur sports teams,0.1
amusement parks,0.1
aquariums,0.4
archery,0.47
badminton,0.61
bathing area,0.66
beaches,0.67
bicycle paths,-
bike rentals,-
boating,0.74
bowling,0.76
bungee jumping,0.78
climbing,0.93
disc golf,1.04
diving,1.05
free diving,1.21
scuba diving,3.16
experiences,1.14
fishing,1.19
fitness & instruction,1.19
barre classes,0.66
boot camps,0.75
boxing,0.76
dance studios,1.01
gyms,66.89
martial arts,29.67
pilates,27.79
swimming lessons/schools,18.38
tai chi,17.19
trainers,16.39
yoga,15.32
gliding,15.29
go karts,14.94
golf,14.17
gun/rifle ranges,14.04
gymnastics,14.01
hang gliding,13.94
hiking,13.92
horse racing,13.34
horseback riding,13.29
hot air balloons,13.2
indoor playcentre,12.72
kids activities,12.46
kiteboarding,12.35
lakes,11.12
laser tag,10.94
lawn bowling,10.93
leisure centers,10.23
mini golf,10.21
mountain biking,10.19
nudist,10.11
paddleboarding,9.74
paintball,9.69
parks,9.24
dog parks,9.07
skate parks,9.05
playgrounds,8.79
public plazas,8.78
rafting/kayaking,8.72
recreation centers,8.44
rock climbing,8.43
sailing,8.19
skating rinks,7.71
skiing,7.7
skydiving,7.59
soccer,7.46
spin classes,7.22
sport equipment hire,7.08
sports clubs,7.05
squash,6.93
summer camps,6.62
surfing,6.61
swimming pools,6.58
tennis,6.46
trampoline parks,6.36
tubing,6.35
zoos,6.3
zorbing,6.3
arts & entertainment,6.29
arcades,6.15
art galleries,6.15
betting centers,6.13
botanical gardens,6.12
casinos,6.02
castles,5.97
choirs,5.97
cinema,5.84
cultural center,5.78
festivals,5.75
christmas markets,5.71
fun fair,5.67
general festivals,5.54
trade fairs,5.53
jazz & blues,5.52
marching bands,5.5
museums,5.47
music venues,5.46
opera & ballet,5.41
performing arts,5.34
professional sports teams,5.34
psychics & astrologers,5.32
race tracks,5.32
social clubs,5.32
stadiums & arenas,5.22
street art,5.2
tablao flamenco,5.11
ticket sales,5.02
wineries,5.01
automotive,5
auto detailing,4.98
auto glass services,4.91
auto loan providers,4.91
auto parts & supplies,4.86
auto repair,4.83
boat dealers,4.81
body shops,4.78
car dealers,4.75
car stereo installation,4.72
car wash,4.7
gas & service stations,4.67
motorcycle dealers,4.59
motorcycle repair,4.55
oil change stations,4.5
parking,4.47
rv dealers,4.45
smog check stations,4.43
tires,4.32
towing,4.25
truck rental,4.25
windshield installation & repair,4.23
beauty & spas,4.2
barbers,4.14
cosmetics & beauty supply,4.03
day spas,4.03
eyelash service,4.02
hair extensions,3.97
hair removal,3.86
laser hair removal,3.85
hair salons,3.83
blow dry/out services,3.79
hair stylists,3.76
men's hair salons,3.74
makeup artists,3.74
massage,3.72
medical spas,3.71
nail salons,3.7
perfume,3.66
permanent makeup,3.65
piercing,3.64
rolfing,3.57
skin care,3.56
tanning,3.55
tattoo,3.48
bicycles,3.48
bike associations,3.47
bike repair,3.45
bike shop,3.44
special bikes,3.44
education,3.43
adult education,3.41
college counseling,3.4
colleges & universities,3.4
educational services,3.32
elementary schools,3.32
middle schools & high schools,3.31
preschools,3.28
private schools,3.27
private tutors,3.25
religious schools,3.22
special education,3.21
specialty schools,3.19
art schools,3.18
cpr classes,3.17
circus schools,3.16
cooking schools,3.16
cosmetology schools,3.16
dance schools,3.15
driving schools,3.14
first aid classes,3.12
flight instruction,3.1
language schools,3.09
massage schools,3.06
vocational & technical school,3.04
test preparation,3
tutoring centers,2.99
event planning & services,2.99
bartenders,2.98
boat charters,2.98
cards & stationery,2.97
caterers,2.94
clowns,2.93
djs,2.93
hotels,2.92
magicians,2.9
musicians,2.9
officiants,2.89
party & event planning,2.87
party bus rentals,2.86
party equipment rentals,2.86
party supplies,2.86
personal chefs,2.85
photographers,2.84
event photography,2.82
session photography,2.82
venues & event spaces,2.8
videographers,2.79
wedding planning,2.78
financial services,2.78
banks & credit unions,2.77
check cashing/pay-day loans,2.75
financial advising,2.74
insurance,2.72
investing,2.72
tax services,2.7
food,2.69
bagels,2.67
bakeries,2.64
beer wine & spirits,2.63
beverage store,2.63
breweries,2.62
bubble tea,2.61
butcher,2.61
csa,2.6
churros,2.59
coffee & tea,2.59
convenience stores,2.59
delicatessen,2.59
desserts,2.59
do-it-yourself food,2.58
donairs,2.57
donuts,2.57
ethic grocery,2.56
farmers market,2.54
food delivery services,2.53
food trucks,2.53
friterie,2.51
gelato,2.47
grocery,2.47
ice cream & frozen yogurt,2.45
